CustomerID,product,cluster
CUST00000,Critical Illness,1
CUST00033,Critical Illness,0
CUST00051,Critical Illness,0
CUST00065,Critical Illness,1
CUST00272,Critical Illness,0
CUST00387,Critical Illness,0
CUST00404,Critical Illness,1
CUST00530,Critical Illness,1
CUST00547,Critical Illness,0
CUST00551,Critical Illness,1
CUST00566,Critical Illness,0
CUST00583,Critical Illness,1
CUST00778,Critical Illness,1
CUST00791,Critical Illness,1
CUST00816,Critical Illness,0
CUST00864,Critical Illness,1
CUST00914,Critical Illness,1
CUST00926,Critical Illness,1
CUST01014,Critical Illness,1
CUST01158,Critical Illness,0
CUST01349,Critical Illness,0
CUST01399,Critical Illness,0
CUST01421,Critical Illness,0
CUST01447,Critical Illness,1
CUST01520,Critical Illness,1
CUST01616,Critical Illness,1
CUST01619,Critical Illness,0
CUST01625,Critical Illness,0
CUST01656,Critical Illness,1
CUST01707,Critical Illness,1
CUST01822,Critical Illness,0
CUST01926,Critical Illness,0
CUST01961,Critical Illness,0
CUST01982,Critical Illness,1
CUST01990,Critical Illness,0
CUST02011,Critical Illness,0
CUST02022,Critical Illness,0
CUST02039,Critical Illness,1
CUST02127,Critical Illness,1
CUST02189,Critical Illness,1
CUST02423,Critical Illness,0
CUST02441,Critical Illness,1
CUST02593,Critical Illness,0
CUST02620,Critical Illness,1
CUST02673,Critical Illness,0
CUST02789,Critical Illness,1
CUST02876,Critical Illness,1
CUST02907,Critical Illness,1
CUST02915,Critical Illness,1
CUST02937,Critical Illness,1
CUST02954,Critical Illness,0
CUST02956,Critical Illness,1
CUST03062,Critical Illness,0
CUST03373,Critical Illness,0
CUST03404,Critical Illness,0
CUST03405,Critical Illness,0
CUST03478,Critical Illness,1
CUST03501,Critical Illness,1
CUST03534,Critical Illness,0
CUST03641,Critical Illness,0
CUST03734,Critical Illness,1
CUST03831,Critical Illness,1
CUST03889,Critical Illness,0
CUST03922,Critical Illness,0
CUST03923,Critical Illness,1
CUST03981,Critical Illness,1
CUST03997,Critical Illness,1
CUST04031,Critical Illness,1
CUST04108,Critical Illness,1
CUST04188,Critical Illness,1
CUST04191,Critical Illness,0
CUST04200,Critical Illness,0
CUST04227,Critical Illness,0
CUST04302,Critical Illness,0
CUST04383,Critical Illness,1
CUST04459,Critical Illness,0
CUST04545,Critical Illness,1
CUST04550,Critical Illness,1
CUST04650,Critical Illness,1
CUST04679,Critical Illness,1
CUST04830,Critical Illness,1
CUST04834,Critical Illness,0
CUST04936,Critical Illness,1
CUST04948,Critical Illness,1
CUST04982,Critical Illness,1
CUST04995,Critical Illness,1
