CustomerID,product,cluster
CUST00001,Term Life,1
CUST00006,Term Life,0
CUST00007,Term Life,0
CUST00011,Term Life,1
CUST00013,Term Life,0
CUST00023,Term Life,0
CUST00034,Term Life,0
CUST00035,Term Life,1
CUST00041,Term Life,1
CUST00042,Term Life,1
CUST00052,Term Life,0
CUST00063,Term Life,1
CUST00065,Term Life,1
CUST00066,Term Life,0
CUST00077,Term Life,0
CUST00085,Term Life,1
CUST00088,Term Life,1
CUST00094,Term Life,1
CUST00098,Term Life,0
CUST00101,Term Life,1
CUST00103,Term Life,1
CUST00110,Term Life,1
CUST00111,Term Life,0
CUST00136,Term Life,1
CUST00158,Term Life,1
CUST00159,Term Life,0
CUST00163,Term Life,0
CUST00174,Term Life,1
CUST00178,Term Life,0
CUST00184,Term Life,0
CUST00187,Term Life,0
CUST00188,Term Life,0
CUST00196,Term Life,0
CUST00201,Term Life,1
CUST00207,Term Life,0
CUST00217,Term Life,0
CUST00219,Term Life,0
CUST00234,Term Life,0
CUST00235,Term Life,0
CUST00239,Term Life,1
CUST00250,Term Life,1
CUST00256,Term Life,1
CUST00261,Term Life,0
CUST00265,Term Life,1
CUST00270,Term Life,1
CUST00287,Term Life,1
CUST00291,Term Life,1
CUST00292,Term Life,1
CUST00296,Term Life,1
CUST00303,Term Life,0
CUST00305,Term Life,0
CUST00306,Term Life,0
CUST00308,Term Life,0
CUST00309,Term Life,1
CUST00313,Term Life,1
CUST00322,Term Life,2
CUST00325,Term Life,1
CUST00330,Term Life,0
CUST00331,Term Life,0
CUST00338,Term Life,1
CUST00340,Term Life,0
CUST00350,Term Life,0
CUST00354,Term Life,1
CUST00374,Term Life,1
CUST00377,Term Life,0
CUST00378,Term Life,0
CUST00387,Term Life,2
CUST00389,Term Life,1
CUST00390,Term Life,1
CUST00397,Term Life,0
CUST00415,Term Life,2
CUST00418,Term Life,1
CUST00424,Term Life,1
CUST00425,Term Life,0
CUST00429,Term Life,0
CUST00431,Term Life,0
CUST00435,Term Life,1
CUST00437,Term Life,0
CUST00439,Term Life,1
CUST00444,Term Life,1
CUST00446,Term Life,2
CUST00449,Term Life,1
CUST00460,Term Life,1
CUST00463,Term Life,0
CUST00466,Term Life,1
