CustomerID,product,cluster
CUST00005,Unit-linked,1
CUST00029,Unit-linked,0
CUST00070,Unit-linked,0
CUST00086,Unit-linked,1
CUST00127,Unit-linked,0
CUST00131,Unit-linked,1
CUST00142,Unit-linked,0
CUST00156,Unit-linked,1
CUST00182,Unit-linked,0
CUST00183,Unit-linked,1
CUST00190,Unit-linked,0
CUST00220,Unit-linked,0
CUST00248,Unit-linked,0
CUST00275,Unit-linked,0
CUST00295,Unit-linked,1
CUST00334,Unit-linked,0
CUST00392,Unit-linked,0
CUST00421,Unit-linked,1
CUST00428,Unit-linked,1
CUST00443,Unit-linked,1
CUST00449,Unit-linked,0
CUST00473,Unit-linked,0
CUST00474,Unit-linked,0
CUST00485,Unit-linked,0
CUST00512,Unit-linked,1
CUST00520,Unit-linked,0
CUST00543,Unit-linked,0
CUST00603,Unit-linked,1
CUST00615,Unit-linked,0
CUST00618,Unit-linked,1
CUST00633,Unit-linked,1
CUST00634,Unit-linked,1
CUST00646,Unit-linked,1
CUST00660,Unit-linked,1
CUST00688,Unit-linked,0
CUST00692,Unit-linked,0
CUST00694,Unit-linked,0
CUST00722,Unit-linked,1
CUST00724,Unit-linked,1
CUST00776,Unit-linked,0
CUST00782,Unit-linked,0
CUST00792,Unit-linked,0
CUST00815,Unit-linked,0
CUST00847,Unit-linked,1
CUST00857,Unit-linked,1
CUST00899,Unit-linked,1
CUST00937,Unit-linked,1
CUST01019,Unit-linked,0
CUST01097,Unit-linked,1
CUST01116,Unit-linked,1
CUST01121,Unit-linked,1
CUST01156,Unit-linked,1
CUST01241,Unit-linked,0
CUST01244,Unit-linked,1
CUST01267,Unit-linked,0
CUST01274,Unit-linked,0
CUST01301,Unit-linked,0
CUST01325,Unit-linked,0
CUST01336,Unit-linked,0
CUST01363,Unit-linked,1
CUST01368,Unit-linked,0
CUST01380,Unit-linked,0
CUST01395,Unit-linked,0
CUST01396,Unit-linked,0
CUST01417,Unit-linked,0
CUST01454,Unit-linked,0
CUST01473,Unit-linked,1
CUST01478,Unit-linked,0
CUST01482,Unit-linked,0
CUST01522,Unit-linked,0
CUST01527,Unit-linked,1
CUST01534,Unit-linked,0
CUST01627,Unit-linked,0
CUST01705,Unit-linked,1
CUST01717,Unit-linked,0
CUST01730,Unit-linked,1
CUST01746,Unit-linked,0
CUST01818,Unit-linked,0
CUST01853,Unit-linked,1
CUST01882,Unit-linked,0
CUST01885,Unit-linked,0
CUST01897,Unit-linked,0
CUST01936,Unit-linked,1
CUST01956,Unit-linked,1
CUST01994,Unit-linked,0
CUST02010,Unit-linked,0
CUST02061,Unit-linked,1
CUST02078,Unit-linked,0
CUST02080,Unit-linked,1
CUST02126,Unit-linked,1
CUST02141,Unit-linked,0
CUST02194,Unit-linked,0
CUST02224,Unit-linked,1
CUST02251,Unit-linked,1
CUST02270,Unit-linked,0
CUST02281,Unit-linked,0
CUST02318,Unit-linked,0
CUST02333,Unit-linked,1
CUST02334,Unit-linked,1
CUST02424,Unit-linked,1
CUST02468,Unit-linked,0
CUST02511,Unit-linked,1
CUST02520,Unit-linked,0
CUST02539,Unit-linked,0
CUST02557,Unit-linked,1
CUST02574,Unit-linked,0
CUST02603,Unit-linked,1
CUST02667,Unit-linked,0
CUST02678,Unit-linked,1
CUST02705,Unit-linked,0
CUST02710,Unit-linked,0
CUST02726,Unit-linked,0
CUST02768,Unit-linked,0
CUST02862,Unit-linked,0
CUST02876,Unit-linked,0
CUST02893,Unit-linked,0
CUST02935,Unit-linked,0
CUST02958,Unit-linked,0
CUST03063,Unit-linked,0
CUST03130,Unit-linked,0
CUST03137,Unit-linked,0
CUST03178,Unit-linked,1
CUST03226,Unit-linked,0
CUST03236,Unit-linked,0
CUST03257,Unit-linked,1
CUST03258,Unit-linked,0
CUST03293,Unit-linked,1
CUST03327,Unit-linked,0
CUST03367,Unit-linked,0
CUST03376,Unit-linked,1
CUST03396,Unit-linked,0
CUST03403,Unit-linked,0
CUST03467,Unit-linked,1
CUST03492,Unit-linked,1
CUST03504,Unit-linked,0
CUST03518,Unit-linked,0
CUST03521,Unit-linked,0
CUST03530,Unit-linked,1
CUST03542,Unit-linked,0
CUST03559,Unit-linked,0
CUST03641,Unit-linked,1
CUST03642,Unit-linked,1
CUST03685,Unit-linked,1
CUST03730,Unit-linked,1
CUST03732,Unit-linked,0
CUST03753,Unit-linked,0
CUST03762,Unit-linked,0
CUST03766,Unit-linked,0
CUST03769,Unit-linked,1
CUST03781,Unit-linked,1
CUST03828,Unit-linked,1
CUST03847,Unit-linked,0
CUST03859,Unit-linked,0
CUST03879,Unit-linked,0
CUST03922,Unit-linked,1
CUST03938,Unit-linked,0
CUST03943,Unit-linked,1
CUST03960,Unit-linked,0
CUST04030,Unit-linked,0
CUST04036,Unit-linked,0
CUST04044,Unit-linked,0
CUST04061,Unit-linked,0
CUST04070,Unit-linked,0
CUST04099,Unit-linked,0
CUST04145,Unit-linked,0
CUST04184,Unit-linked,0
CUST04188,Unit-linked,0
CUST04189,Unit-linked,0
CUST04240,Unit-linked,0
CUST04289,Unit-linked,1
CUST04308,Unit-linked,0
CUST04360,Unit-linked,0
CUST04424,Unit-linked,0
CUST04502,Unit-linked,0
CUST04515,Unit-linked,0
CUST04545,Unit-linked,0
CUST04606,Unit-linked,0
CUST04701,Unit-linked,1
CUST04723,Unit-linked,0
CUST04742,Unit-linked,1
CUST04769,Unit-linked,1
CUST04822,Unit-linked,1
CUST04826,Unit-linked,1
CUST04836,Unit-linked,0
CUST04858,Unit-linked,0
CUST04871,Unit-linked,0
CUST04910,Unit-linked,1
CUST04933,Unit-linked,1
CUST04938,Unit-linked,1
CUST04943,Unit-linked,1
