CustomerID,Age,Gender,City,Postcode,IncomeBand,CreditScore,PolicyStatus,Beneficiary
CUST00000,52,Female,Manchester,SW95 5HH,£25–40k,691,Active,Spouse
CUST00001,41,Male,Birmingham,M87 9CS,>£60k,685,Active,Spouse
CUST00002,68,Male,Bristol,SW4 2GH,>£60k,746,Active,Spouse
CUST00003,37,Male,Cardiff,BT4 9GW,<£15k,732,Active,Spouse
CUST00004,48,Male,Cardiff,BS29 8SI,£15–25k,585,Active,Spouse
CUST00005,29,Male,London,B90 7KI,£15–25k,718,Active,Spouse
CUST00006,66,Male,Birmingham,LS98 6DC,£25–40k,686,Active,Spouse
CUST00007,36,Female,Bristol,M46 6TI,<£15k,706,Active,Spouse
CUST00008,35,Female,London,EH69 2MC,£25–40k,682,Active,Spouse
CUST00009,44,Male,Cardiff,G81 6SG,>£60k,636,Active,Spouse
CUST00010,57,Male,Manchester,SW85 4YJ,£25–40k,626,Active,Spouse
CUST00011,25,Female,Manchester,LS13 7IO,£40–60k,711,Active,Spouse
CUST00012,56,Male,Liverpool,B48 6GV,<£15k,710,Active,Spouse
CUST00013,43,Male,Glasgow,M78 3RX,£15–25k,681,Active,Spouse
CUST00014,38,Male,Leeds,B60 7IU,£25–40k,763,Active,Spouse
CUST00015,49,Male,Cardiff,LS88 6YY,>£60k,676,Active,Spouse
CUST00016,34,Male,London,LS5 6MI,£40–60k,736,Active,Spouse
CUST00017,60,Female,Manchester,LS73 6GU,<£15k,755,Active,Spouse
CUST00018,32,Female,Edinburgh,BS83 8EI,£25–40k,681,Active,Spouse
CUST00019,37,Male,Birmingham,LS96 9RI,£15–25k,688,Active,Spouse
CUST00020,57,Female,Belfast,BS75 7LH,£25–40k,781,Active,Spouse
CUST00021,50,Female,Birmingham,CF64 2YB,£25–40k,661,Active,Spouse
CUST00022,44,Female,Manchester,B81 3ZV,£25–40k,793,Active,Spouse
CUST00023,46,Male,Bristol,BT9 7MT,£25–40k,682,Active,Spouse
CUST00024,41,Male,Edinburgh,CF33 9AV,£40–60k,721,Active,Spouse
CUST00025,32,Female,Manchester,CF97 5YU,£40–60k,669,Active,Spouse
CUST00026,58,Female,Liverpool,M38 7FO,<£15k,719,Active,Spouse
CUST00027,46,Female,London,G65 3QD,>£60k,758,Active,Spouse
CUST00028,34,Male,Glasgow,CF78 4EL,£25–40k,680,Active,Spouse
CUST00029,49,Male,Birmingham,CF68 1TK,£25–40k,715,Active,Spouse
CUST00030,23,Male,Edinburgh,SW15 6ZJ,£15–25k,674,Active,Spouse
CUST00031,42,Female,Leeds,SW31 2CX,£40–60k,724,Active,Spouse
CUST00032,48,Female,Edinburgh,M98 9YE,£15–25k,695,Active,Spouse
CUST00033,18,Male,Birmingham,EH71 3IQ,<£15k,698,Active,Spouse
CUST00034,45,Male,Belfast,BS28 9YX,£15–25k,847,Active,Spouse
CUST00035,42,Male,Leeds,G52 6OQ,£25–40k,718,Active,Spouse
CUST00036,62,Male,Edinburgh,M32 4CK,£40–60k,745,Active,Spouse
CUST00037,66,Female,London,BT71 4SH,£25–40k,615,Active,Spouse
CUST00038,30,Male,London,M91 1HC,£25–40k,666,Active,Spouse
CUST00039,21,Female,London,L10 9HI,<£15k,704,Active,Spouse
CUST00040,31,Female,Edinburgh,LS70 3XS,<£15k,792,Active,Spouse
CUST00041,33,Female,Belfast,EH32 8ZN,>£60k,680,Active,Spouse
CUST00042,57,Female,Leeds,M13 7LN,£25–40k,626,Active,Spouse
CUST00043,20,Male,Bristol,EH94 1VU,>£60k,711,Active,Spouse
CUST00044,48,Male,Manchester,SW52 6ZD,£15–25k,746,Active,Spouse
CUST00045,52,Female,Leeds,LS25 9OE,£40–60k,717,Active,Spouse
CUST00046,34,Male,Bristol,B36 8HC,>£60k,713,Active,Spouse
CUST00047,49,Male,Edinburgh,CF13 1UR,<£15k,657,Active,Spouse
