PolicyID,CustomerID,Product,CoverageAmount,PremiumAmount,PolicyTermYears,Status,PolicyStartDate,PolicyLapseDate,BeneficiaryRelation
POL00000,CUST03632,Term Life,150348.83,31.63,25,Active,2022-01-13,,Spouse
POL00001,CUST01750,Whole Life,113470.29,20.0,20,Active,2022-11-12,,Spouse
POL00002,CUST04338,Whole Life,171827.06,41.3,10,Active,2025-02-18,,Parent
POL00003,CUST01201,Term Life,226970.15,29.59,20,Active,2024-06-19,,Spouse
POL00004,CUST04495,Term Life,345862.63,29.53,30,Active,2025-01-05,,Parent
POL00005,CUST03769,Unit-linked,174037.42,40.26,5,Active,2025-04-04,,Other
POL00006,CUST04117,Term Life,241262.45,62.33,30,Active,2023-01-06,,Parent
POL00007,CUST04695,Term Life,39094.57,61.17,10,Active,2025-01-11,,Spouse
POL00008,CUST04441,Term Life,227234.59,35.69,30,Active,2022-08-22,,Spouse
POL00009,CUST02298,Term Life,81665.44,20.0,5,Active,2024-08-23,,Spouse
POL00010,CUST03646,Whole Life,286263.74,164.94,10,Active,2024-06-07,,Child
POL00011,CUST00634,Unit-linked,89781.29,27.91,10,Active,2022-09-27,,Spouse
POL00012,CUST01721,Term Life,123234.6,20.0,10,Lapsed,2024-02-19,2025-08-02,Child
POL00013,CUST04569,Term Life,62997.54,38.27,5,Active,2025-06-06,,Other
POL00014,CUST04505,Whole Life,158244.91,20.28,20,Active,2024-01-18,,Child
POL00015,CUST03367,Term Life,111095.82,45.71,20,Active,2022-01-28,,Spouse
POL00016,CUST00138,Endowment,250757.39,59.1,30,Active,2022-07-05,,Spouse
POL00017,CUST03269,Whole Life,163269.36,37.92,30,Active,2022-03-21,,Parent
POL00018,CUST04936,Critical Illness,117488.38,33.49,5,Active,2024-01-24,,Child
POL00019,CUST04479,Term Life,35500.81,20.0,23,Active,2025-01-28,,Spouse
POL00020,CUST04184,Unit-linked,133160.48,63.48,20,Active,2025-01-01,,Parent
POL00021,CUST03178,Whole Life,87693.43,26.83,10,Active,2022-10-28,,Spouse
POL00022,CUST03724,Term Life,211980.01,20.0,30,Active,2025-04-25,,Child
POL00023,CUST04545,Critical Illness,203333.58,61.24,20,Active,2023-01-08,,Spouse
POL00024,CUST04189,Unit-linked,125030.4,61.93,5,Active,2024-07-20,,Parent
POL00025,CUST01987,Term Life,400000.0,37.72,30,Active,2025-01-16,,Child
POL00026,CUST04186,Term Life,72324.79,20.0,30,Active,2023-09-07,,Spouse
POL00027,CUST03654,Term Life,128487.74,20.0,20,Active,2025-01-15,,Child
POL00028,CUST00831,Term Life,135301.97,20.0,30,Active,2023-11-04,,Spouse
POL00029,CUST02787,Whole Life,325335.77,49.07,10,Active,2024-11-15,,Other
POL00030,CUST00268,Whole Life,101176.88,41.67,20,Active,2022-11-17,,Parent
POL00031,CUST04943,Term Life,200000.0,20.0,5,Active,2023-12-17,,Child
POL00032,CUST02295,Term Life,186375.69,20.0,5,Active,2024-05-17,,Trust/Charity
POL00033,CUST00857,Unit-linked,200000.0,41.67,30,Active,2022-05-10,,Spouse
POL00034,CUST00421,Unit-linked,106825.03,20.0,15,Active,2022-12-25,,Child
POL00035,CUST02643,Term Life,214990.99,20.0,20,Active,2025-04-18,,Parent
POL00036,CUST00932,Whole Life,95304.92,24.7,14,Lapsed,2022-07-24,2025-07-20,Child
POL00037,CUST00437,Term Life,64702.03,20.0,10,Active,2023-03-21,,Child
POL00038,CUST02187,Endowment,279324.77,40.44,10,Active,2024-09-09,,Spouse
POL00039,CUST03875,Whole Life,272322.18,70.08,20,Active,2022-05-25,,Child
POL00040,CUST03467,Term Life,255791.49,64.14,29,Lapsed,2024-07-27,2025-06-05,Child
POL00041,CUST02615,Whole Life,200000.0,34.16,12,Active,2023-08-28,,Parent
POL00042,CUST04081,Whole Life,150254.68,25.53,20,Active,2023-12-20,,Parent
POL00043,CUST01206,Term Life,60762.8,41.67,23,Active,2022-04-17,,Spouse
POL00044,CUST01707,Whole Life,80159.36,40.63,1,Active,2022-03-11,,Other
POL00045,CUST02492,Annuity,201755.9,21.91,20,Active,2023-04-06,,Other
POL00046,CUST03079,Endowment,121235.67,20.0,10,Active,2024-12-03,,Parent
