CustomerID,product,cluster
CUST00116,Annuity,0
CUST00126,Annuity,1
CUST00131,Annuity,0
CUST00160,Annuity,1
CUST00167,Annuity,1
CUST00316,Annuity,0
CUST00363,Annuity,1
CUST00365,Annuity,0
CUST00407,Annuity,0
CUST00419,Annuity,1
CUST00425,Annuity,0
CUST00430,Annuity,1
CUST00475,Annuity,0
CUST00480,Annuity,0
CUST00614,Annuity,0
CUST00659,Annuity,1
CUST00676,Annuity,1
CUST00707,Annuity,1
CUST00719,Annuity,0
CUST00750,Annuity,0
CUST00797,Annuity,1
CUST00798,Annuity,1
CUST00800,Annuity,0
CUST00830,Annuity,1
CUST00831,Annuity,0
CUST00844,Annuity,0
CUST00867,Annuity,1
CUST00906,Annuity,1
CUST00923,Annuity,0
CUST00964,Annuity,0
CUST01011,Annuity,0
CUST01085,Annuity,0
CUST01134,Annuity,0
CUST01157,Annuity,1
CUST01189,Annuity,1
CUST01196,Annuity,1
CUST01339,Annuity,0
CUST01372,Annuity,0
CUST01389,Annuity,0
CUST01413,Annuity,1
CUST01419,Annuity,0
CUST01422,Annuity,1
CUST01431,Annuity,1
CUST01505,Annuity,0
CUST01509,Annuity,1
CUST01549,Annuity,0
CUST01583,Annuity,1
CUST01595,Annuity,0
CUST01610,Annuity,1
CUST01667,Annuity,1
CUST01669,Annuity,1
CUST01672,Annuity,0
CUST01685,Annuity,0
CUST01689,Annuity,1
CUST01725,Annuity,0
CUST01728,Annuity,0
CUST01746,Annuity,0
CUST01755,Annuity,0
CUST01783,Annuity,0
CUST01811,Annuity,1
CUST01830,Annuity,0
CUST01957,Annuity,1
CUST01966,Annuity,0
CUST02008,Annuity,1
CUST02070,Annuity,1
CUST02118,Annuity,0
CUST02142,Annuity,0
CUST02144,Annuity,0
CUST02165,Annuity,1
CUST02204,Annuity,0
CUST02229,Annuity,1
CUST02308,Annuity,0
CUST02314,Annuity,1
CUST02338,Annuity,1
CUST02340,Annuity,1
CUST02342,Annuity,0
CUST02347,Annuity,0
CUST02360,Annuity,0
CUST02425,Annuity,1
CUST02435,Annuity,1
CUST02473,Annuity,1
CUST02492,Annuity,1
CUST02530,Annuity,1
CUST02537,Annuity,1
CUST02566,Annuity,1
CUST02588,Annuity,0
CUST02589,Annuity,1
CUST02597,Annuity,0
CUST02773,Annuity,1
CUST02783,Annuity,0
CUST02803,Annuity,0
CUST02827,Annuity,1
CUST02835,Annuity,0
CUST02847,Annuity,0
CUST02864,Annuity,1
CUST02881,Annuity,1
CUST02887,Annuity,1
CUST02908,Annuity,1
CUST02921,Annuity,1
CUST02927,Annuity,1
CUST02952,Annuity,0
CUST02978,Annuity,1
CUST02985,Annuity,1
CUST02994,Annuity,0
CUST03040,Annuity,1
CUST03041,Annuity,1
CUST03061,Annuity,0
CUST03062,Annuity,0
CUST03107,Annuity,1
CUST03124,Annuity,0
CUST03140,Annuity,0
CUST03179,Annuity,1
CUST03305,Annuity,0
CUST03316,Annuity,1
CUST03321,Annuity,0
CUST03390,Annuity,1
CUST03419,Annuity,1
CUST03429,Annuity,1
CUST03474,Annuity,1
CUST03553,Annuity,1
CUST03575,Annuity,1
CUST03576,Annuity,0
CUST03615,Annuity,0
CUST03637,Annuity,1
CUST03740,Annuity,1
CUST03779,Annuity,1
CUST03862,Annuity,0
CUST03869,Annuity,1
CUST03901,Annuity,1
CUST03963,Annuity,1
CUST03979,Annuity,0
CUST04091,Annuity,0
CUST04128,Annuity,1
CUST04216,Annuity,1
CUST04333,Annuity,1
CUST04338,Annuity,0
CUST04367,Annuity,0
CUST04430,Annuity,0
CUST04459,Annuity,0
CUST04483,Annuity,0
CUST04497,Annuity,1
CUST04552,Annuity,1
CUST04615,Annuity,0
CUST04662,Annuity,0
CUST04703,Annuity,0
CUST04789,Annuity,0
CUST04797,Annuity,0
CUST04827,Annuity,0
CUST04834,Annuity,0
CUST04851,Annuity,0
CUST04894,Annuity,1
CUST04897,Annuity,0
CUST04932,Annuity,0
